Sample_ID,class,Feature_1,Feature_2,Feature_3,Feature_4,Feature_5,Feature_6,Feature_7,Feature_8,Feature_9,Feature_10
S1-1,A,25.7775,24.6047,19.0636,24.2183,22.4995,25.234,21.0168,27.2705,25.4516,24.3743
S1-10,A,27.9088,24.4035,19.0548,23.8622,22.4605,24.9659,20.7795,26.899,26.4839,24.1035
S1-11,A,26.899,24.4811,18.8596,23.8622,22.0843,24.7078,21.1667,28.6257,26.2484,24.4035
S1-12,A,25.9079,26.619,19.0548,23.7875,22.5792,25.0647,20.7795,27.5408,25.5791,23.9427
S1-13,A,27.0627,24.1114,18.8759,23.4338,22.4162,25.0071,21.0534,27.2623,27.5262,24.0303
S1-14,A,26.4706,24.4513,19.0636,23.8254,22.8799,24.5278,20.4536,28.6257,26.2341,24.2183
S1-15,A,26.7452,24.2973,19.0636,23.7443,22.2489,24.6819,20.8155,26.2341,26.3484,24.8504
S1-16,A,26.7565,24.4811,19.0548,23.7875,22.4605,25.2613,20.9813,28.6257,25.6917,24.4035
S1-17,A,26.1262,24.4513,19.226,23.5777,23.1014,25.1313,20.8155,25.8883,26.0053,24.1435
S1-18,A,26.7565,24.2505,19.0548,23.9427,22.2106,25.2613,20.7795,27.2785,25.4771,24.6321
S1-19,A,26.2484,24.33,19.0548,23.9427,22.5792,24.6321,20.9813,26.899,26.1442,24.2505
S1-2,A,25.234,24.2973,18.8676,23.986,22.2489,26.3484,21.0168,27.0731,25.6685,24.4513
S1-20,A,26.4839,25.4771,18.8596,23.8622,22.4605,24.4811,20.7795,26.1442,26.0244,24.1035
S1-21,A,24.9659,24.2505,19.2141,23.4436,22.4605,24.8779,20.7795,26.899,25.6917,24.5552
S1-22,A,25.6917,24.4035,19.2141,23.6206,22.3377,24.4811,20.9813,26.2484,26.0244,24.7906
S1-23,B,24.8504,24.6047,18.8676,24.1435,22.4995,25.3414,20.8155,27.5336,26.4706,24.9394
S1-24,B,26.4839,24.5552,19.3879,23.7024,22.4605,24.6321,20.7795,27.9088,25.6917,25.0647
S1-25,B,26.0244,25.2613,18.8596,23.4436,22.4605,24.6321,20.9813,28.6257,26.2484,24.1035
S1-26,B,26.1442,24.33,18.8596,23.9427,22.4605,24.4811,20.7795,27.2785,26.619,24.1035
S1-27,B,26.7565,26.1442,18.8596,23.5403,22.3377,24.9659,20.6049,27.9088,26.4839,24.1747
S1-28,B,26.0053,24.5278,18.8676,23.6598,22.7529,25.1313,20.8155,25.8883,26.7452,23.986
S1-29,B,27.5336,25.234,18.8676,23.394,22.6231,24.7634,20.8155,27.9038,25.4516,24.0674
S1-3,B,26.4706,24.3743,19.226,23.986,22.4995,24.8504,21.0168,26.7452,26.8892,24.6047
S1-30,B,26.8892,23.394,18.8676,23.986,22.7529,25.234,20.9177,26.3484,26.2341,24.2183
S1-4,B,25.6685,25.234,19.0636,24.2183,22.8799,25.0363,20.4536,26.8892,27.0731,24.2973
S1-5,B,26.3624,25.3676,19.0548,23.4436,22.0843,24.6321,21.1667,27.0832,27.5408,23.6206
S1-6,B,25.9079,24.7078,18.8596,24.2505,22.4605,24.5552,20.6049,27.0832,26.2484,24.33
S1-7,B,26.0244,23.8622,18.8596,23.9427,22.3377,24.6321,20.7795,26.619,25.6917,24.4811
S1-8,B,25.3676,24.7078,18.8596,23.7875,22.4605,24.6321,20.7795,27.9088,26.3624,24.4035
S1-9,B,27.5336,24.5278,19.0636,23.7443,22.6231,25.234,20.8155,27.2705,25.7775,24.2973
S2-1,C,27.2785,24.7906,18.5023,22.7074,22.9562,24.33,20.7795,26.0244,24.8779,23.9427
S2-10,C,26.2484,24.8779,18.1852,23.0583,22.5792,24.5552,21.1667,26.3624,24.6321,23.9427
S2-11,C,26.4706,24.4513,18.1895,22.9954,22.7529,25.234,21.2045,27.5336,24.6819,24.0674
S2-12,C,26.606,24.6819,18.1895,22.7529,22.3764,24.1435,21.0168,26.8892,24.3743,24.0674
S2-13,C,25.3414,25.5568,18.1895,22.8799,22.7529,23.9041,21.2045,26.8892,24.7634,23.6598
S2-14,C,25.4771,24.7078,18.1852,22.8351,22.7074,24.6321,20.9813,26.619,24.9659,24.4035
S2-15,C,26.606,25.6685,18.1895,22.6231,22.8799,24.3743,20.8155,27.0731,24.8504,23.7443
S2-16,C,25.8883,24.5278,18.8676,22.9954,23.2084,24.8504,21.2045,27.2705,24.7634,23.8254
S2-17,C,27.5408,25.2613,18.1852,22.9562,22.8351,24.1747,20.7795,26.2484,24.6321,23.7024
S2-18,C,26.899,24.5552,18.1852,22.4605,22.7074,24.1035,21.5243,26.2484,24.7078,24.0237
S2-19,C,26.1442,24.9659,18.1852,22.9562,22.7074,24.2505,20.7795,27.5408,24.7906,23.7024
S2-2,C,26.619,24.7906,18.8596,22.5792,22.3377,25.6917,20.9813,26.899,24.7078,24.1035
S2-20,C,27.0832,24.1747,18.1852,22.8351,22.7074,23.9427,20.9813,28.6257,25.0647,23.3553
S2-21,C,25.7775,24.6047,18.1895,22.8799,22.1206,25.4516,21.3887,26.8892,24.8504,24.4513
S2-22,C,26.7452,25.3414,18.5121,23.3051,22.4995,24.4513,21.0168,26.8892,25.4516,24.3743
S2-23,D,26.619,24.0237,18.8596,23.2681,22.4605,24.9659,21.3507,27.0832,25.9079,24.7078
S2-24,D,27.0832,25.6917,18.1852,23.0583,22.7074,23.9427,21.1667,26.7565,24.6321,24.1747
S2-25,D,26.3624,25.2613,18.1852,23.1667,23.2681,24.7906,21.3507,26.619,25.0647,23.9427
S2-26,D,26.899,23.8622,18.5023,22.8351,22.5792,24.2505,20.9813,26.3624,24.7078,24.5552
S2-27,D,27.5408,24.5552,18.1852,22.8351,22.7074,24.1035,20.6049,26.1442,24.7906,23.7875
S2-28,D,26.4839,25.7978,19.0548,22.9562,22.4605,24.5552,21.1667,26.1963,25.1565,23.6206
S2-29,D,27.5336,25.7775,18.1895,22.7529,22.2489,24.5278,21.2045,27.0731,24.4513,24.2973
S2-3,D,26.619,24.9659,18.1852,23.2681,22.5792,24.7906,21.1667,26.3624,24.8779,24.4035
S2-30,D,26.7452,24.0674,18.1895,22.8799,22.6231,24.4513,20.8155,27.2705,24.9394,24.1435
S2-4,D,26.1442,24.7906,18.1852,22.9562,22.7074,24.5552,20.9813,26.4839,24.7078,24.1035
S2-5,D,26.8583,24.9483,18.2033,22.6268,22.236,24.1198,21.3244,26.7093,25.2583,23.7875
S2-6,D,26.7565,24.4811,18.1852,22.8351,22.5792,25.7978,21.1667,26.619,24.9659,23.7875
S2-7,D,26.4839,24.7078,18.1852,22.7074,23.0583,24.5552,21.1667,26.3624,24.4035,24.33
S2-8,D,26.1442,24.5552,18.1852,22.5792,22.8351,24.8779,20.9813,26.619,25.3676,24.0237
S2-9,D,26.1442,25.2613,18.1852,22.8351,22.5792,24.4811,21.1667,27.5408,24.7906,23.6206
